"1/2/2014","14:20",579
"1/2/2014","14:30",564
"1/2/2014","14:40",529
"1/2/2014","14:50",501
"1/2/2014","15:00",478
"1/2/2014","15:10",447
"1/2/2014","15:20",412
"1/2/2014","15:30",378
"1/2/2014","15:40",349
"1/2/2014","15:50",320
"1/2/2014","16:00",277
"1/2/2014","16:10",237
"1/2/2014","16:20",204
"1/2/2014","16:30",183
"1/2/2014","16:40",162
"1/2/2014","16:50",137
"1/2/2014","17:00",94
"1/2/2014","17:10",66
"1/2/2014","17:20",59
"1/2/2014","17:30",47
"1/2/2014","17:40",28
"1/2/2014","17:50",14
"1/2/2014","18:00",2
"1/2/2014","18:10",0
"1/2/2014","18:20",0
"1/2/2014","18:30",0
"1/2/2014","18:40",0
"1/2/2014","18:50",0
"1/2/2014","19:00",0
"1/2/2014","19:10",0
"1/2/2014","19:20",0
"1/2/2014","19:30",0
"1/2/2014","19:40",0
"1/2/2014","19:50",0
"1/2/2014","20:00",0
"1/2/2014","20:10",0
"1/2/2014","20:20",0
"1/2/2014","20:30",0
"1/2/2014","20:40",0
"1/2/2014","20:50",0
"1/2/2014","21:00",0
"1/2/2014","21:10",0
"1/2/2014","21:20",0
"1/2/2014","21:30",0
"1/2/2014","21:40",0
"1/2/2014","21:50",0
"1/2/2014","22:00",0
"1/2/2014","22:10",0
"1/2/2014","22:20",0
"1/2/2014","22:30",0
"1/2/2014","22:40",0
"1/2/2014","22:50",0
"1/2/2014","23:00",0
"1/2/2014","23:10",0
"1/2/2014","23:20",0
"1/2/2014","23:30",0
"1/2/2014","23:40",0
"1/2/2014","23:50",0
"1/3/2014","0:00",0
"1/3/2014","0:10",0
"1/3/2014","0:20",0
"1/3/2014","0:30",0
"1/3/2014","0:40",0
"1/3/2014","0:50",0
"1/3/2014","1:00",0
"1/3/2014","1:10",0
"1/3/2014","1:20",0
"1/3/2014","1:30",0
"1/3/2014","1:40",0
"1/3/2014","1:50",0
"1/3/2014","2:00",0
"1/3/2014","2:10",0
"1/3/2014","2:20",0
"1/3/2014","2:30",0
"1/3/2014","2:40",0
"1/3/2014","2:50",0
"1/3/2014","3:00",0
"1/3/2014","3:10",0
"1/3/2014","3:20",0
"1/3/2014","3:30",0
"1/3/2014","3:40",0
"1/3/2014","3:50",0
"1/3/2014","4:00",0
"1/3/2014","4:10",0
"1/3/2014","4:20",0
"1/3/2014","4:30",0
"1/3/2014","4:40",0
"1/3/2014","4:50",0
"1/3/2014","5:00",0
"1/3/2014","5:10",0
"1/3/2014","5:20",0
"1/3/2014","5:30",0
"1/3/2014","5:40",0
"1/3/2014","5:50",0
"1/3/2014","6:00",0
"1/3/2014","6:10",0
"1/3/2014","6:20",0
"1/3/2014","6:30",0
"1/3/2014","6:40",0
"1/3/2014","6:50",2
"1/3/2014","7:00",10
"1/3/2014","7:10",27
"1/3/2014","7:20",49
"1/3/2014","7:30",75
"1/3/2014","7:40",102
"1/3/2014","7:50",133
"1/3/2014","8:00",166
"1/3/2014","8:10",199
"1/3/2014","8:20",231
"1/3/2014","8:30",265
"1/3/2014","8:40",294
"1/3/2014","8:50",326
"1/3/2014","9:00",362
"1/3/2014","9:10",398
"1/3/2014","9:20",438
"1/3/2014","9:30",474
"1/3/2014","9:40",496
"1/3/2014","9:50",511
"1/3/2014","10:00",548
"1/3/2014","10:10",579
"1/3/2014","10:20",588
"1/3/2014","10:30",597
"1/3/2014","10:40",620
"1/3/2014","10:50",654
"1/3/2014","11:00",672
"1/3/2014","11:10",673
"1/3/2014","11:20",689
"1/3/2014","11:30",702
"1/3/2014","11:40",715
"1/3/2014","11:50",706
"1/3/2014","12:00",705
"1/3/2014","12:10",727
"1/3/2014","12:20",719
"1/3/2014","12:30",698
"1/3/2014","12:40",690
"1/3/2014","12:50",671
"1/3/2014","13:00",702
"1/3/2014","13:10",690
"1/3/2014","13:20",650
"1/3/2014","13:30",636
"1/3/2014","13:40",603
"1/3/2014","13:50",582
"1/3/2014","14:00",566
"1/3/2014","14:10",531
"1/3/2014","14:20",513
"1/3/2014","14:30",499
"1/3/2014","14:40",470
"1/3/2014","14:50",457
"1/3/2014","15:00",441
"1/3/2014","15:10",404
"1/3/2014","15:20",360
"1/3/2014","15:30",340
"1/3/2014","15:40",322
"1/3/2014","15:50",302
"1/3/2014","16:00",263
"1/3/2014","16:10",245
"1/3/2014","16:20",221
"1/3/2014","16:30",195
"1/3/2014","16:40",165
"1/3/2014","16:50",139
"1/3/2014","17:00",90
"1/3/2014","17:10",65
"1/3/2014","17:20",57
"1/3/2014","17:30",46
"1/3/2014","17:40",28
"1/3/2014","17:50",14
"1/3/2014","18:00",3
"1/3/2014","18:10",0
"1/3/2014","18:20",0
"1/3/2014","18:30",0
"1/3/2014","18:40",0
"1/3/2014","18:50",0
"1/3/2014","19:00",0
"1/3/2014","19:10",0
"1/3/2014","19:20",0
"1/3/2014","19:30",0
"1/3/2014","19:40",0
"1/3/2014","19:50",0
"1/3/2014","20:00",0
"1/3/2014","20:10",0
"1/3/2014","20:20",0
"1/3/2014","20:30",0
"1/3/2014","20:40",0
"1/3/2014","20:50",0
"1/3/2014","21:00",0
"1/3/2014","21:10",0
"1/3/2014","21:20",0
"1/3/2014","21:30",0
"1/3/2014","21:40",0
"1/3/2014","21:50",0
"1/3/2014","22:00",0
"1/3/2014","22:10",0
"1/3/2014","22:20",0
"1/3/2014","22:30",0
"1/3/2014","22:40",0
"1/3/2014","22:50",0
"1/3/2014","23:00",0
"1/3/2014","23:10",0
"1/3/2014","23:20",0
"1/3/2014","23:30",0
"1/3/2014","23:40",0
"1/3/2014","23:50",0
"1/4/2014","0:00",0
"1/4/2014","0:10",0
"1/4/2014","0:20",0
"1/4/2014","0:30",0
"1/4/2014","0:40",0
"1/4/2014","0:50",0
"1/4/2014","1:00",0
"1/4/2014","1:10",0
"1/4/2014","1:20",0
"1/4/2014","1:30",0
"1/4/2014","1:40",0
"1/4/2014","1:50",0
"1/4/2014","2:00",0
"1/4/2014","2:10",0
"1/4/2014","2:20",0
"1/4/2014","2:30",0
"1/4/2014","2:40",0
"1/4/2014","2:50",0
"1/4/2014","3:00",0
"1/4/2014","3:10",0
"1/4/2014","3:20",0
"1/4/2014","3:30",0
"1/4/2014","3:40",0
"1/4/2014","3:50",0
"1/4/2014","4:00",0
"1/4/2014","4:10",0
"1/4/2014","4:20",0
"1/4/2014","4:30",0
"1/4/2014","4:40",0
"1/4/2014","4:50",0
"1/4/2014","5:00",0
"1/4/2014","5:10",0
"1/4/2014","5:20",0
"1/4/2014","5:30",0
"1/4/2014","5:40",0
"1/4/2014","5:50",0
"1/4/2014","6:00",0
"1/4/2014","6:10",0
"1/4/2014","6:20",0
"1/4/2014","6:30",0
"1/4/2014","6:40",0
"1/4/2014","6:50",1
"1/4/2014","7:00",10
"1/4/2014","7:10",22
"1/4/2014","7:20",41
